area,item,planning_action,implementation_boundary
existing-production,src/NuclearReactorSimulator.Simulation/NuclearReactorSimulator.Simulation.csproj,MODIFY-LATER,EXPLICIT-EMBEDDEDRESOURCE-LOGICALNAME
existing-production,src/NuclearReactorSimulator.Simulation/Physics/Fluids/WaterSteamThermodynamicClosureMode.cs,MODIFY-LATER,ADD-VALUE-2
existing-production,src/NuclearReactorSimulator.Simulation/Physics/Fluids/SimplifiedWaterSteamThermodynamicModel.cs,MODIFY-LATER,DEDICATED-MODE2-DISPATCH-NO-FALLTHROUGH
new-production,src/NuclearReactorSimulator.Simulation/Physics/Fluids/ReferenceConsistentTabulatedInverseResolver.cs,ADD-LATER,STATIC-PROCESS-WIDE-IMMUTABLE-CACHE
new-production,src/NuclearReactorSimulator.Simulation/Physics/Fluids/ReferenceData/NRSVR2C4.v1.bin,ADD-LATER,VERSIONED-BIT-EXACT-EMBEDDED-PAYLOAD
new-test,tests/NuclearReactorSimulator.Simulation.Tests/Physics/Fluids/Reference/NrsVr2C4ReferencePayloadGenerator.cs,ADD-LATER,OFFLINE-CSharp-DETERMINISTIC-GENERATOR
new-test,tests/NuclearReactorSimulator.Simulation.Tests/Physics/Fluids/Reference/R1SelectedC4OptInClosureImplementationTests.cs,ADD-LATER,EQUIVALENCE-REGRESSION-INTEGRITY-GATE
selected-shadow,Rp1bC4AllocationNeutralShadowThermodynamicCandidate,KEEP-IMMUTABLE,EQUIVALENCE-ORACLE
application-call-sites,exact-v9-and-scenario-factories,NO-CHANGE,NO-ACTIVATION
historical-modes,enum-values-0-and-1,NO-CHANGE,PRESERVE-HISTORY
